experiment,model_path,time_sec,output
0,google/flan-t5-large,0.4305992126464844,"[""pensil"", ""kertas"", ""belajar""]"
1,google/flan-t5-large,0.42835474014282227,"[""pensil"", ""kertas"", ""belajar""]"
2,google/flan-t5-large,0.42678117752075195,"[""pensil"", ""kertas"", ""belajar""]"
3,google/flan-t5-large,0.43099522590637207,"[""pensil"", ""kertas"", ""belajar""]"
4,google/flan-t5-large,0.428713321685791,"[""pensil"", ""kertas"", ""belajar""]"
5,google/flan-t5-large,0.42807865142822266,"[""pensil"", ""kertas"", ""belajar""]"
6,google/flan-t5-large,0.42371463775634766,"[""pensil"", ""kertas"", ""belajar""]"
7,google/flan-t5-large,0.42395925521850586,"[""pensil"", ""kertas"", ""belajar""]"
8,google/flan-t5-large,0.4272956848144531,"[""pensil"", ""kertas"", ""belajar""]"
9,google/flan-t5-large,0.425626277923584,"[""pensil"", ""kertas"", ""belajar""]"
10,google/flan-t5-large,0.4280436038970947,"[""pensil"", ""kertas"", ""belajar""]"
11,google/flan-t5-large,0.4250369071960449,"[""pensil"", ""kertas"", ""belajar""]"
12,google/flan-t5-large,0.4307541847229004,"[""pensil"", ""kertas"", ""belajar""]"
13,google/flan-t5-large,0.42789673805236816,"[""pensil"", ""kertas"", ""belajar""]"
14,google/flan-t5-large,0.42681431770324707,"[""pensil"", ""kertas"", ""belajar""]"
15,google/flan-t5-large,0.42698121070861816,"[""pensil"", ""kertas"", ""belajar""]"
16,google/flan-t5-large,0.4245450496673584,"[""pensil"", ""kertas"", ""belajar""]"
17,google/flan-t5-large,0.42437100410461426,"[""pensil"", ""kertas"", ""belajar""]"
18,google/flan-t5-large,0.42821168899536133,"[""pensil"", ""kertas"", ""belajar""]"
19,google/flan-t5-large,0.42339348793029785,"[""pensil"", ""kertas"", ""belajar""]"
20,google/flan-t5-large,0.4239375591278076,"[""pensil"", ""kertas"", ""belajar""]"
21,google/flan-t5-large,0.4237217903137207,"[""pensil"", ""kertas"", ""belajar""]"
22,google/flan-t5-large,0.42531275749206543,"[""pensil"", ""kertas"", ""belajar""]"
23,google/flan-t5-large,0.42461562156677246,"[""pensil"", ""kertas"", ""belajar""]"
24,google/flan-t5-large,0.4300723075866699,"[""pensil"", ""kertas"", ""belajar""]"
25,google/flan-t5-large,0.428997278213501,"[""pensil"", ""kertas"", ""belajar""]"
26,google/flan-t5-large,0.4278073310852051,"[""pensil"", ""kertas"", ""belajar""]"
27,google/flan-t5-large,0.4263458251953125,"[""pensil"", ""kertas"", ""belajar""]"
28,google/flan-t5-large,0.42684292793273926,"[""pensil"", ""kertas"", ""belajar""]"
29,google/flan-t5-large,0.4239766597747803,"[""pensil"", ""kertas"", ""belajar""]"
30,google/flan-t5-large,0.4321317672729492,"[""pensil"", ""kertas"", ""belajar""]"
31,google/flan-t5-large,0.4278111457824707,"[""pensil"", ""kertas"", ""belajar""]"
32,google/flan-t5-large,0.42644286155700684,"[""pensil"", ""kertas"", ""belajar""]"
33,google/flan-t5-large,0.43081140518188477,"[""pensil"", ""kertas"", ""belajar""]"
34,google/flan-t5-large,0.4318840503692627,"[""pensil"", ""kertas"", ""belajar""]"
35,google/flan-t5-large,0.4253222942352295,"[""pensil"", ""kertas"", ""belajar""]"
36,google/flan-t5-large,0.4238913059234619,"[""pensil"", ""kertas"", ""belajar""]"
37,google/flan-t5-large,0.4247124195098877,"[""pensil"", ""kertas"", ""belajar""]"
38,google/flan-t5-large,0.42485666275024414,"[""pensil"", ""kertas"", ""belajar""]"
39,google/flan-t5-large,0.4282240867614746,"[""pensil"", ""kertas"", ""belajar""]"
40,google/flan-t5-large,0.4292755126953125,"[""pensil"", ""kertas"", ""belajar""]"
41,google/flan-t5-large,0.4289238452911377,"[""pensil"", ""kertas"", ""belajar""]"
42,google/flan-t5-large,0.42707014083862305,"[""pensil"", ""kertas"", ""belajar""]"
43,google/flan-t5-large,0.4238755702972412,"[""pensil"", ""kertas"", ""belajar""]"
44,google/flan-t5-large,0.4263436794281006,"[""pensil"", ""kertas"", ""belajar""]"
45,google/flan-t5-large,0.425004243850708,"[""pensil"", ""kertas"", ""belajar""]"
46,google/flan-t5-large,0.4253854751586914,"[""pensil"", ""kertas"", ""belajar""]"
47,google/flan-t5-large,0.4241304397583008,"[""pensil"", ""kertas"", ""belajar""]"
48,google/flan-t5-large,0.423814058303833,"[""pensil"", ""kertas"", ""belajar""]"
49,google/flan-t5-large,0.42527008056640625,"[""pensil"", ""kertas"", ""belajar""]"
